State,MedianAge
Maine,45
West Virginia,43
Vermont,43
New Hampshire,43
Florida,42
Pennsylvania,41
Delaware,41
Connecticut,41
Wisconsin,40
Rhode Island,40
New Jersey,40
Montana,40
Michigan,40
Massachusetts,40
Tennessee,39
South Carolina,39
Oregon,39
Ohio,39
North Carolina,39
New York,39
Missouri,39
Maryland,39
Kentucky,39
Hawaii,39
Alabama,39
Wyoming,38
Washington,38
Virginia,38
New Mexico,38
Nevada,38
Mississippi,38
Minnesota,38
Iowa,38
Indiana,38
Illinois,38
Arkansas,38
Arizona,38
South Dakota,37
Oklahoma,37
Nebraska,37
Louisiana,37
Kansas,37
Georgia,37
Colorado,37
California,37
Idaho,36
Texas,35
North Dakota,35
Alaska,34
Utah,31
